Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Pangene_0.98.Miniprot0.95,LongRead,All,Bakta,Pangene,428,3796,4224,196,511,344,725,"Pangene 
 (C0.98-M0.95)",707,1069
Pangene_0.98.Miniprot0.95,ShortRead,All,Bakta,Pangene,945,3344,4289,1561,1519,4321,3746,"Pangene 
 (C0.98-M0.95)",3080,8067
Pangene_0.98.Miniprot0.95,ShortRead,All,PGAP,Pangene,680,3318,3998,1188,1256,3197,3151,"Pangene 
 (C0.98-M0.95)",2444,6348
Pangene_0.98.Miniprot0.98,LongRead,All,Bakta,Pangene,442,3796,4238,192,517,377,744,"Pangene 
 (C0.98-M0.98)",709,1121
Pangene_0.98.Miniprot0.98,LongRead,All,PGAP,Pangene,337,3815,4152,128,472,230,651,"Pangene 
 (C0.98-M0.98)",600,881
Pangene_0.98.Miniprot0.98,ShortRead,All,Bakta,Pangene,959,3332,4291,1642,1585,4667,3808,"Pangene 
 (C0.98-M0.98)",3227,8475
Pangene_0.98.Miniprot0.98,ShortRead,All,PGAP,Pangene,710,3359,4069,1261,1333,3349,3343,"Pangene 
 (C0.98-M0.98)",2594,6692
Pangene_0.98.Miniprot0.99,LongRead,All,Bakta,Pangene,453,3792,4245,217,513,420,741,"Pangene 
 (C0.98-M0.99)",730,1161
Pangene_0.98.Miniprot0.99,LongRead,All,PGAP,Pangene,334,3818,4152,125,462,241,632,"Pangene 
 (C0.98-M0.99)",587,873
Pangene_0.98.Miniprot0.99,ShortRead,All,PGAP,Pangene,716,3345,4061,1313,1357,3420,3404,"Pangene 
 (C0.98-M0.99)",2670,6824
Pangene_0.98.Miniprot0.99,ShortRead,All,Bakta,Pangene,949,3329,4278,1588,1540,4398,3831,"Pangene 
 (C0.98-M0.99)",3128,8229
Pangene_0.98.Miniprot0.9,LongRead,All,Bakta,Pangene,424,3796,4220,183,497,342,704,"Pangene 
 (C0.98-M0.9)",680,1046
Pangene_0.98.Miniprot0.9,LongRead,All,PGAP,Pangene,337,3813,4150,130,480,238,650,"Pangene 
 (C0.98-M0.9)",610,888
Pangene_0.98.Miniprot0.9,ShortRead,All,Bakta,Pangene,930,3306,4236,1546,1498,4363,3720,"Pangene 
 (C0.98-M0.9)",3044,8083
Pangene_0.98.Miniprot0.9,ShortRead,All,PGAP,Pangene,663,3302,3965,965,1135,2600,2984,"Pangene 
 (C0.98-M0.9)",2100,5584
